occupation,soc_code,automation_probability,required_education,employed_may_2016,median_annual_wage_usd,average_annual_wage_usd
Ship Engineers,53-5031,0.041,Associate Degree,9750.0,70570.0,74120.0
Art Directors,27-1011,0.023,Bachelor’s Degree,36210.0,89820.0,101170.0
Chiropractors,29-1011,0.027,PhD,32960.0,67520.0,81210.0
Craft Artists,27-1012,0.035,High School,5070.0,33440.0,38900.0
Loan Officers,13-2072,0.98,Bachelor’s Degree,305700.0,63650.0,76260.0
Orthodontists,29-1023,0.023,PhD,5200.0,228780.0,228780.0
Photographers,27-4021,0.021,High School,48660.0,34070.0,42640.0
Statisticians,15-2041,0.22,Master’s Degree,33440.0,80500.0,85160.0
Tax Preparers,13-2082,0.99,High School,70030.0,36550.0,45340.0
Telemarketers,41-9041,0.99,High School,215290.0,24300.0,27170.0
Tire Builders,51-9197,0.94,High School,22280.0,41680.0,42230.0
Travel Agents,41-3041,0.099,High School,68680.0,36460.0,39900.0
Travel Guides,39-7012,0.057,High School,3030.0,32100.0,35930.0
Veterinarians,29-1131,0.038,PhD,67650.0,88770.0,100560.0
Audiologists,29-1181,0.0033,PhD,12310.0,75980.0,79290.0
Boilermakers,47-2011,0.68,High School,16660.0,62060.0,62200.0
Electricians,47-2111,0.15,High School,607120.0,52720.0,56650.0
Firefighters,33-2011,0.17,Associate Degree,315910.0,48030.0,50520.0
Hydrologists,19-2043,0.014,Bachelor’s Degree,6300.0,80480.0,83740.0
Logisticians,13-1081,0.012,Bachelor’s Degree,146060.0,74170.0,77810.0
Optometrists,29-1041,0.14,PhD,36430.0,106140.0,117580.0
Order Clerks,43-4151,0.98,High School,176850.0,33370.0,35160.0
Paperhangers,47-2142,0.87,High School,3190.0,33770.0,36470.0
"Sewers, Hand",51-6051,0.99,High School,6540.0,24520.0,25630.0
Sociologists,19-3041,0.059,Master’s Degree,2870.0,79750.0,86840.0
Upholsterers,51-6093,0.39,High School,32520.0,33050.0,34640.0
Astronomers,19-2011,0.041,PhD,1830.0,104740.0,110380.0
Dishwashers,35-9021,0.77,High School,506450.0,20800.0,21260.0
File Clerks,43-4071,0.97,High School,130950.0,29090.0,31260.0
Geographers,19-3092,0.25,Bachelor’s Degree,1370.0,74260.0,74090.0
Millwrights,49-9044,0.59,High School,39670.0,52440.0,53950.0
Pharmacists,29-1051,0.012,PhD,305510.0,122230.0,120270.0
Hosts and Hostesses,29-1081,0.0046,PhD,9800.0,124830.0,144110.0
Stonemasons,47-2022,0.89,High School,13190.0,39780.0,43650.0
Archivists,25-4011,0.76,Master’s Degree,5760.0,50500.0,54570.0
Bartenders,35-3011,0.77,High School,603320.0,20800.0,25580.0
Carpenters,47-2031,0.72,High School,676980.0,43600.0,48340.0
Concierges,39-6012,0.21,High School,32020.0,29250.0,31440.0
Economists,19-3011,0.43,Master’s Degree,19380.0,101050.0,112860.0
Historians,19-3093,0.44,Master’s Degree,2950.0,55110.0,60990.0
Librarians,25-4021,0.65,Master’s Degree,129350.0,57680.0,59870.0
Machinists,51-4041,0.65,High School,391120.0,41700.0,43220.0
Physicists,19-2012,0.1,PhD,16680.0,115870.0,121770.0
Pipelayers,47-2151,0.62,High School,39620.0,38410.0,42860.0
Shampooers,39-5093,0.79,High School,15240.0,19700.0,20960.0
Actuaries,15-2011,0.21,Bachelor’s Degree,19940.0,100610.0,114120.0
Embalmers,39-4011,0.54,Associate Degree,3710.0,40150.0,42260.0
Foresters,19-1032,0.0081,Bachelor’s Degree,8420.0,58700.0,60300.0
Surveyors,17-1022,0.38,Bachelor’s Degree,43340.0,59390.0,63480.0
Bailiffs,33-3011,0.36,High School,17880.0,42670.0,45740.0
Cashiers,41-2011,0.97,High School,3541010.0,20180.0,21680.0
Chemists,19-2031,0.1,Bachelor’s Degree,86660.0,73740.0,80820.0
Curators,25-4012,0.0068,Master’s Degree,11170.0,53360.0,58910.0
Glaziers,47-2121,0.73,High School,47140.0,41920.0,47260.0
Barbers,39-5011,0.8,Associate Degree,15900.0,25760.0,29900.0
Dancers,27-2031,0.13,High School,10060.0,24594.6,32739.1
Editors,27-3041,0.055,Bachelor’s Degree,97170.0,57210.0,66080.0
Fallers,45-4021,0.76,High School,5370.0,37370.0,42900.0
Lawyers,23-1011,0.035,PhD,619530.0,118160.0,139880.0
Riggers,49-9096,0.89,High School,21020.0,45690.0,49030.0
Roofers,47-2181,0.9,High School,116410.0,37760.0,42080.0
Tellers,43-3071,0.98,High School,496760.0,27260.0,28060.0
Actors,27-2011,0.37,Associate Degree,48620.0,33473.0,71313.6
Bakers,51-3011,0.89,High School,180450.0,25090.0,27110.0
Clergy,21-2011,0.0081,Bachelor’s Degree,49320.0,45740.0,49450.0
Models,41-9012,0.98,High School,4390.0,21870.0,36560.0
Tapers,47-2082,0.62,High School,18480.0,48990.0,53790.0
